,from,to,distance,time
2,W01320203,S1,56449,3245
2,W01320203,S2,29269,2210
2,W01320203,S25,11968,1304
2,W01320203,S26,12190,1408
2,W01320203,S27,11215,1277
2,W01320203,S28,11046,1292
2,W01320203,S29,10747,1245
2,W01320203,S30,11480,1450
2,W01320203,S31,12980,1516
2,W01320203,S32,11573,1325
2,W01320203,S33,12093,1288
2,W01320203,S122,4765,658
2,S1,W01320203,46920,3000
2,S1,S2,32100,3184
2,S1,S3,32100,3239
2,S1,S4,54479,3267
2,S1,S5,57863,3343
2,S1,S6,51285,3658
2,S1,S7,54948,3216
2,S1,S8,55153,3077
2,S1,S9,55418,3164
2,S1,S10,54187,3064
2,S1,S11,44431,3039
2,S1,S12,45597,3243
2,S1,S13,45314,3209
2,S1,S14,44757,3038
2,W01320203,S34,11957,1306
2,W01320203,S35,9256,1140
2,W01320203,S36,8799,1114
2,W01320203,S37,9010,1156
2,W01320203,S38,11877,1448
2,W01320203,S39,7947,1041
2,W01320203,S40,11903,1741
2,W01320203,S41,5056,802
2,W01320203,S42,18436,2130
2,W01320203,S43,6007,908
2,W01320203,S44,7364,1197
2,W01320203,S45,4602,698
2,W01320203,S46,7433,1158
2,W01320203,S47,8004,1219
2,W01320203,S48,8998,1137
2,W01320203,S49,5069,798
2,W01320203,S50,7521,1060
2,W01320203,S51,4715,685
2,W01320203,S52,1649,249
2,W01320203,S53,16281,1884
2,W01320203,S54,18225,2120
2,W01320203,S55,15996,1916
2,W01320203,S56,16387,1958
2,W01320203,S57,16627,1976
2,W01320203,S58,16661,2042
2,W01320203,S59,22899,2020
2,W01320203,S60,13027,1440
2,W01320203,S61,13205,1520
2,W01320203,S62,12676,1503
2,W01320203,S63,18334,2166
2,S1,S15,42004,2763
2,S1,S16,41938,2721
2,S1,S17,39412,2636
2,S1,S18,38371,2498
2,S1,S19,40916,2909
2,S1,S20,44122,2954
2,S1,S21,39445,2582
2,S1,S22,46023,3142
2,S1,S23,42962,3056
2,S1,S24,30359,2918
2,S1,S25,44003,3220
2,S1,S26,44921,3375
2,S1,S27,40771,2833
2,S1,S28,41192,2907
2,S1,S29,41635,2947
2,S1,S30,42404,3113
2,S1,S31,41709,2973
2,S1,S32,42575,3074
2,S1,S33,42901,3056
2,S1,S34,43588,3198
2,S1,S35,39938,2683
2,S1,S36,47584,3428
2,S1,S37,52379,3256
2,S1,S38,41433,3024
2,S1,S39,56316,3452
2,S1,S40,54516,3719
2,S1,S41,50808,3589
2,S1,S42,33358,3563
2,S1,S43,48459,3548
2,S1,S44,53116,3979
2,S1,S45,50354,3478
2,S1,S46,56811,3606
2,S1,S47,56363,3627
2,S1,S48,52367,3250
2,S1,S49,48458,3298
2,S1,S50,46832,3239
2,S1,S51,48129,3220
2,S1,S52,47401,3007
2,S1,S53,30655,3042
2,S1,S54,28072,2726
2,S1,S55,32530,2469
2,S1,S56,31961,2453
2,S1,S57,31998,2450
2,S1,S58,28205,2792
2,S1,S59,30556,2279
2,S1,S60,42994,3086
2,S1,S61,39399,2720
2,S1,S62,38769,2680
2,W01320203,S64,20715,2440
2,W01320203,S65,9132,1171
2,W01320203,S66,12345,1472
2,W01320203,S67,13435,1513
2,W01320203,S68,26839,1959
2,W01320203,S69,27721,1954
2,W01320203,S70,18985,2223
2,W01320203,S71,9942,1195
2,W01320203,S72,15730,1812
2,W01320203,S73,15480,1770
2,W01320203,S74,12066,1394
2,W01320203,S75,19161,2438
2,W01320203,S76,18328,2318
2,W01320203,S77,15106,1832
2,W01320203,S78,12072,1254
2,W01320203,S79,9470,1149
2,W01320203,S80,10228,1345
2,W01320203,S81,10917,1326
2,W01320203,S82,9510,1225
2,W01320203,S83,9893,1244
2,W01320203,S84,5008,795
2,W01320203,S85,7590,977
2,W01320203,S86,6655,1005
2,W01320203,S87,9457,1225
2,W01320203,S88,7359,995
2,W01320203,S89,5839,806
2,W01320203,S90,3112,425
2,W01320203,S91,5163,781
2,W01320203,S92,9253,1368
2,W01320203,S93,9581,1478
2,W01320203,S94,7965,1232
2,W01320203,S95,7108,974
2,W01320203,S96,7350,1000
2,W01320203,S97,5127,730
2,W01320203,S98,9748,1298
2,W01320203,S99,9195,1258
2,W01320203,S100,8587,1281
2,W01320203,S101,7905,1005
2,W01320203,S102,7680,1098
2,W01320203,S103,7486,1033
2,W01320203,S104,8052,1158
2,W01320203,S105,10622,1602
2,W01320203,S106,9543,1480
2,W01320203,S107,8578,1332
2,W01320203,S108,9404,1468
2,W01320203,S109,6764,1100
2,W01320203,S110,9650,1354
2,W01320203,S111,8541,1254
2,W01320203,S112,7403,1016
2,W01320203,S113,10116,1161
2,W01320203,S114,8166,1159
2,W01320203,S115,7676,1022
2,W01320203,S116,8016,1110
2,W01320203,S117,5303,730
2,W01320203,S118,4690,771
2,W01320203,S119,1517,254
2,W01320203,S120,958,180
2,W01320203,S121,4101,585
2,S1,S97,49400,3429
2,S1,S98,59992,3876
2,S1,S99,59404,3890
2,S1,S100,52860,4030
2,S1,S101,51848,3848
2,S1,S102,52111,3838
2,S1,S103,51759,3781
2,S1,S104,53723,3871
2,S1,S105,54011,4131
2,S1,S106,52932,3991
2,S1,S107,51967,3868
2,S1,S108,52793,3881
2,S1,S109,50153,3554
2,S1,S110,53923,4003
2,S1,S111,51930,3799
2,S1,S112,51676,3625
2,S1,S113,60182,3828
2,S1,S114,52439,3762
2,S1,S115,51949,3687
2,S1,S116,52299,3719
2,S1,S117,49501,3394
2,S1,S118,49467,3541
2,S1,S119,46782,2964
2,S1,S120,45760,2858
2,S1,S121,48299,3258
2,S1,S122,48963,3305
2,S2,W01320203,21292,2371
2,S2,S1,31126,2679
2,S2,S3,1083,285
2,S2,S4,9562,1006
2,S2,S5,8801,854
2,S2,S6,20903,2147
2,S2,S7,11889,1281
2,S2,S8,12094,1103
2,S2,S9,12359,1236
2,S2,S10,8762,860
2,S2,S11,20719,2329
2,S2,S12,29188,2472
2,S2,S13,28905,2423
2,S2,S14,28299,2266
2,S2,S15,22972,2181
2,S2,S16,25331,1971
2,S2,S17,15456,1642
2,S2,S18,14415,1457
2,S2,S19,16960,1812
2,S2,S20,21222,2323
2,S2,S21,12781,1315
2,S2,S22,26991,2546
2,S2,S23,21332,2330
2,S2,S24,5299,654
2,S2,S25,10648,1351
2,S2,S26,12040,1325
2,S2,S27,10702,1207
2,S2,S28,12030,1342
2,S2,S29,11235,1322
2,S2,S30,12464,1468
2,S2,S31,9237,1203
2,S2,S32,9303,1160
2,S2,S33,9249,1137
2,S2,S34,9936,1273
2,S2,S35,12342,1452
2,S2,S36,18453,1481
2,S2,S37,18664,1519
2,S2,S38,11364,1378
2,S2,S39,22243,1771
2,S2,S40,20801,2051
2,S2,S41,23857,2165
2,S2,S42,3979,631
2,S2,S43,16532,2112
2,S2,S44,22734,2554
2,S2,S45,21371,2315
2,S2,S46,20706,2096
2,S2,S47,20268,2115
2,S2,S48,16272,1733
2,S2,S49,31851,2544
2,S2,S50,30374,2425
2,S2,S51,24294,2818
2,S2,S52,19254,2276
2,S2,S53,7284,824
2,S2,S54,6152,698
2,S2,S55,7182,747
2,S2,S56,6868,783
2,S2,S57,6436,760
2,S2,S58,6285,800
2,S2,S59,8564,1008
2,S2,S60,9342,1192
2,S2,S61,10016,1100
2,S2,S62,9376,1156
2,S2,S63,8552,971
2,S2,S64,8692,1044
