departure,arrival,volumn,weight
W01320203,S1,2.24,1056
W01320203,S2,1,110
W01320203,S3,0.32,53
W01320203,S4,0.21,27
W01320203,S5,0.2,101
W01320203,S6,0.68,143
W01320203,S7,0.05,58
W01320203,S8,1.64,158
W01320203,S3,0.49,77
W01320203,S9,0.08,48
W01320203,S10,0.05,20
W01320203,S11,0.4,35
W01320203,S12,0.6,139
W01320203,S13,0.37,35
W01320203,S14,0.3,325
W01320203,S15,0.03,15
W01320203,S16,3.42,842
W01320203,S17,0.11,19
W01320203,S18,0.1,56
W01320203,S19,0.48,350
W01320203,S20,0.12,41
W01320203,S21,0.28,240
W01320203,S22,2.79,497
W01320203,S23,0.26,14
W01320203,S24,0.2,93
W01320203,S25,2.15,360
W01320203,S26,1.1,243
W01320203,S27,0.63,98
W01320203,S28,0.14,56
W01320203,S29,0.42,72.63
W01320203,S30,0.58,57
W01320203,S31,0.78,166
W01320203,S32,2.93,761
W01320203,S33,2.31,849
W01320203,S34,0.25,98
W01320203,S35,1.14,300
W01320203,S36,2.31,252
W01320203,S37,0.52,104
W01320203,S38,3.62,284
W01320203,S39,0.08,12
W01320203,S40,1.57,135
W01320203,S41,1.09,172
W01320203,S41,0.39,76
W01320203,S42,0.34,105
W01320203,S43,0.08,5
W01320203,S44,1.69,384
W01320203,S45,0.32,98
W01320203,S46,0,58.4
W01320203,S47,0.47,65
W01320203,S48,0.33,28
W01320203,S48,0.14,13
W01320203,S49,0.47,92
W01320203,S50,0.78,842
W01320203,S51,0.1,66
W01320203,S52,1.94,187
W01320203,S53,0.02,4
W01320203,S54,0.23,90
W01320203,S55,0.12,110
W01320203,S56,0.19,93
W01320203,S57,0.35,162
W01320203,S58,0.19,42
W01320203,S59,0.55,117
W01320203,S60,0.61,530
W01320203,S61,0.03,13
W01320203,S62,0.69,205
W01320203,S63,1.4,175
W01320203,S64,4.2,258
W01320203,S65,0.17,96
W01320203,S66,0.44,381
W01320203,S67,0.02,1
W01320203,S68,0.5,105
W01320203,S69,0.36,170
W01320203,S70,0.35,127
W01320203,S71,1.38,270
W01320203,S72,0.4,68
W01320203,S73,0.13,90
W01320203,S74,0.15,105
W01320203,S75,0.27,46
W01320203,S76,0.19,71
W01320203,S77,0.61,540
W01320203,S78,0.41,77
W01320203,S79,0.35,69
W01320203,S80,0.65,106
W01320203,S81,0.16,223
W01320203,S82,2,440
W01320203,S83,0.5,150
W01320203,S84,0.25,32
W01320203,S85,0.42,103
W01320203,S86,1.05,120
W01320203,S87,0.21,87
W01320203,S88,1.06,185
W01320203,S89,0.9,65
W01320203,S90,0.93,131
W01320203,S90,0.42,62
W01320203,S91,0.31,65
W01320203,S92,0.17,20
W01320203,S93,0.56,26
W01320203,S94,0.2,60
W01320203,S95,0.76,153
W01320203,S96,0.34,44
W01320203,S97,0.84,136
W01320203,S98,0.1,12
W01320203,S99,0.83,175
W01320203,S100,0.13,60
W01320203,S101,0.17,58
W01320203,S102,1.5,177
W01320203,S103,0.16,60
W01320203,S104,0.83,165
W01320203,S105,0.67,136
W01320203,S106,0.85,111
W01320203,S107,0.21,73
W01320203,S108,0.21,32
W01320203,S109,0.55,64
W01320203,S110,0.52,69
W01320203,S111,0.13,80
W01320203,S112,0.07,45
W01320203,S113,0.28,72
W01320203,S114,0.17,28
W01320203,S115,0.34,30
W01320203,S116,0.38,38
W01320203,S117,2.8,410
W01320203,S118,2.45,676
W01320203,S119,2.02,320
W01320203,S120,2.03,311
W01320203,S121,0.16,35
W01320203,S122,0.31,61
